Date,usd_zar_logret_next
2000-01-17,0.0023018753998249
2000-01-18,0.0040973588422055
2000-01-19,-0.0022924522893772
2000-01-20,0.0045796612590247
2000-01-21,0.0064251369830845
2000-01-24,-0.0009408559237991
2000-01-25,0.0021561690164653
2000-01-26,0.008385793376274
2000-01-27,0.0207405424238225
2000-01-28,-0.0071034237126592
2000-01-31,-0.0051618141213709
2000-02-01,0.0003980099555027
2000-02-02,-0.0039872461118177
2000-02-03,0.0045441940515833
2000-02-04,0.0007156204336729
2000-02-07,0.0013503318307435
2000-02-08,0.003328317518974
2000-02-09,0.0035538043325338
2000-02-10,0.0029125852053673
2000-02-11,-0.0009436930552497
2000-02-14,0.0
2000-02-15,-0.0027575357241158
2000-02-16,-0.0019743343037177
2000-02-17,0.0
2000-02-18,0.0
2000-02-21,-0.0018990352280954
2000-02-22,0.0034788143876138
2000-02-23,-0.000947567979934
2000-02-24,-0.0026896622495951
2000-02-25,0.00953927372456
2000-02-28,-0.0051130888189987
2000-02-29,0.0019696677630476
2000-03-01,0.0024370123298997
2000-03-02,0.0189770821739165
2000-03-03,0.0015396461855927
2000-03-06,0.0035322159123676
2000-03-07,-0.0062281543832765
2000-03-08,-0.0124176993391391
2000-03-09,-0.0023455835617205
2000-03-10,0.0074088855182672
2000-03-13,0.0007766990681723
2000-03-14,0.0054200674693389
2000-03-15,-0.0038684767779202
2000-03-16,0.003095977705128
2000-03-17,0.0033945411395357
2000-03-20,-0.0012330457789151
2000-03-21,-0.0040953578855713
2000-03-22,0.0031695747612792
2000-03-23,0.0008486672576644
2000-03-24,-0.0028574757829811
2000-03-27,0.0038595184921776
2000-03-28,0.0034608763634866
2000-03-29,0.0101593510243755
2000-03-30,-0.0067104110276756
2000-03-31,0.0045801606785744
2000-04-03,-0.0007619047987621
2000-04-04,0.0064577622331527
2000-04-05,-0.004173787125322
2000-04-06,-0.0021315477010876
2000-04-07,-0.0009149131470773
2000-04-10,0.0057045220296414
2000-04-11,-0.0028101640032769
2000-04-12,-0.0014461318499996
2000-04-13,0.0028901754222332
2000-04-14,0.0056798971284477
2000-04-17,-0.001662762079114
2000-04-18,0.0042270594341879
2000-04-19,0.0095952760173356
2000-04-20,0.0056539356090969
2000-04-21,-0.0011133792205986
2000-04-24,-0.0002971106016063
2000-04-25,0.0110082010014187
2000-04-26,0.008778403116505
2000-04-27,-0.0120165572559918
2000-04-28,0.0002948113228897
2000-05-01,-0.0014749265210678
2000-05-02,0.0102790919746476
2000-05-03,0.0112585173225676
2000-05-04,0.0025247984557332
2000-05-05,0.0
2000-05-08,0.0213835660253229
2000-05-09,-0.0020472281337471
2000-05-10,-0.0143057847028595
2000-05-11,0.0092758424625216
2000-05-12,0.0
2000-05-15,0.0046058540236342
2000-05-16,0.0063425159764702
2000-05-17,0.0023155467666442
2000-05-18,0.006427296123433
2000-05-19,-0.0087428428900773
2000-05-22,-0.0088199548652783
2000-05-23,0.0088902017832237
2000-05-24,0.0041358581263288
2000-05-25,-0.0017503942855301
2000-05-26,0.0
2000-05-29,-0.0117718907786419
2000-05-30,-0.0119838797761915
2000-05-31,0.0028663581072512
2000-06-01,-0.0082630252794055
2000-06-02,-0.0007217611284096
2000-06-05,0.0028839241329048
2000-06-06,0.0039518643131999
2000-06-07,0.0106991034866235
2000-06-08,-0.0061915295825252
2000-06-09,0.0034207559012453
2000-06-12,-0.0032779905358804
2000-06-13,-0.0107643665871584
2000-06-14,-0.0043384015985981
2000-06-15,-0.010196738020515
2000-06-16,0.0052570214528016
2000-06-19,0.0056640918257551
2000-06-20,0.0036140263405564
