Feature,Importance
usd_zar_logret_lag3,0.04381263809404559
usd_zar_logret_rollstd10,0.032460274203516756
usd_zar_logret_rollmean5,0.03234206994614475
usd_zar_logret,0.02775865708243788
usd_zar_logret_lag4,0.026847933698859083
usd_zar_logret_lag1,0.02670172570321697
usd_zar_logret_lag2,0.026496185511258496
Gold_logret,0.02457837188245364
usd_zar_logret_lag5,0.02278431423680856
US_Soybean_Oil_logret_lag3,0.02082088388034722
US_Soybean_Oil_logret_lag2,0.020329994462479063
Silver_logret_lag3,0.019903393823283978
US_Soybeans_logret_lag2,0.019051095950864662
Silver_logret_lag4,0.018900655716406572
US_Soybean_Oil_logret_lag1,0.018612556943121094
Gold_logret_lag4,0.01844144398404218
US_Soybean_Oil_logret_rollmean5,0.01841659692324353
Gold_logret_lag5,0.018346408546696027
Gold_logret_rollstd10,0.018192221550007624
US_Soybean_Oil_logret_rollstd10,0.018098985896155356
US_Soybean_Oil_logret,0.01804284963141011
Silver_logret,0.01782279803379823
Gold_logret_lag3,0.017713635760769907
US_Soybeans_logret,0.017664569049781753
US_Soybean_Oil_logret_lag4,0.017560845400853838
US_Soybeans_logret_lag4,0.01753293792505494
US_Soybean_Oil_logret_lag5,0.017077679131237634
Palladium_logret_lag2,0.016917275577979864
Palladium_logret_rollmean5,0.01677900236422471
Silver_logret_lag1,0.016695465449828892
US_Soybeans_logret_lag5,0.01661142862032713
Silver_logret_lag2,0.016610484155324973
Gold_logret_lag2,0.016598665764262086
US_Soybeans_logret_lag1,0.01645539515367039
Silver_logret_rollstd10,0.01630381667165723
Gold_logret_lag1,0.01617185410821877
US_Soybeans_logret_lag3,0.016058332842633694
Silver_logret_lag5,0.016006560856830644
US_Soybeans_logret_rollmean5,0.016001128197677267
Palladium_logret_rollstd10,0.015996431496469413
Gold_logret_rollmean5,0.015502603131799282
US_Soybeans_logret_rollstd10,0.01515800550198457
Palladium_logret_lag3,0.014710504914034021
Silver_logret_rollmean5,0.01453771079561025
Palladium_logret_lag1,0.013463118135340854
Palladium_logret,0.01266970842967641
Palladium_logret_lag5,0.011985284126254306
Palladium_logret_lag4,0.011436033670188884
Tin_logret_lag2,0.011339663615442828
Tin_logret_lag5,0.01092307593621566
Tin_logret,0.01062535559713816
Tin_logret_rollstd10,0.010251544057834553
Tin_logret_lag4,0.009910480241501013
Tin_logret_lag3,0.00985365765554477
Tin_logret_lag1,0.009606917686928115
Tin_logret_rollmean5,0.00850877227710576
