Model,MAE,RMSE,MSE,R2,MAPE (%),Dir_Acc (%)
Persistence,0.009256,0.011885,0.000141,-1.039195,3224107.6912,44.428
LinearRegression,0.00654,0.008386,7e-05,-0.015172,577805.2044,49.4465
Ridge,0.00654,0.008386,7e-05,-0.01515,577596.6872,49.4465
Lasso,0.006414,0.008325,6.9e-05,-0.000419,86093.3028,45.4613
ElasticNet,0.006414,0.008325,6.9e-05,-0.000419,86057.2822,45.4613
