usd_zar_logret,platinum_logret,Gold_logret,Silver_logret,Brent_Oil_logret,Oats_logret
-0.0067152819710931,-0.0230707460099708,-0.0056557238068544,-0.0311787182484508,-0.0274331417801567,0.0021390382487496
-0.0024681213680834,-0.0189932238133527,0.0010628876111358,-0.0082876064602279,-0.0046462596784557,-0.0021390382487496
0.0016460909066686,0.0048426244757875,0.0017689726884349,0.0054043752461432,-0.0226941874028123,0.0021390382487496
-0.0037900679792655,0.0024125464053836,-0.0007072136079768,-0.0009629273733935,0.0273404470812681,0.002134472528632
0.0032142443299076,-0.0048309272696647,0.0059954332295406,0.0009629273733935,0.0368190503086354,0.0063762171392767
0.0022192093930877,0.0105973870677882,-0.00246435611428,-0.0100600577584117,0.0076876769474023,-0.0085106896679088
-0.0035366241575263,0.005971593134058,0.0049226541038205,0.0019425025533081,0.0068287069937218,0.0169495583137733
-0.0018968295654691,0.0130133152638123,-0.0007017544147638,-0.0005823546704424,0.0194257842939338,0.0125262598191797
0.002967361227802,0.0093007923082915,0.0122968453094909,0.0021820835425181,0.007042282625413,-0.0041580101486635
0.0017269031058624,0.0030811396510621,0.0040655736982087,0.0007263043534389,0.0154741965825975,0.0015612805669524
0.0005749722939625,0.0286093425741036,0.0024142105190225,0.0015476884497762,-0.0080940892849747,0.0005198856368719
0.0040973588422055,-0.0015806985121651,-0.0034506590484948,0.0161077308159327,0.0100116354142465,0.0144481357473864
-0.0022924522893772,0.0067567824628804,0.001381692793215,0.0005705049123077,0.0095329606587237,0.0
0.0045796612590247,0.0221984697891484,-0.0055382626848219,0.006254166126232,-0.0110667032906723,-0.0082304991365154
0.0064251369830845,0.0128696158190075,-0.0052201266964111,0.0041478189180605,0.0182514572073624,0.0041237171838615
-0.0009408559237991,-0.0305887948041103,-0.000348979239277,-0.0060388936117323,-0.0155689493715405,0.0081967672041791
0.0021561690164653,-0.0042548354124285,0.0020920509722239,0.0246787622707751,-0.0197107830639327,-0.0102565001671894
0.008385793376274,0.0182348431591696,-0.0038387763071661,-0.0163846525180919,0.0023391823531722,0.0020597329630103
0.0207405424238225,0.002640873489299,0.0006990563024977,-0.0018789934126606,0.0112295468528964,-0.0020597329630103
